,0
0,goat
1,goat
2,goat
3,goat
4,goat
5,goat
6,goat
7,goat
8,goat
9,goat
10,goat
11,goat
12,goat
13,goat
14,goat
15,goat
16,goat
17,goat
18,goat
19,goat
20,goat
21,goat
22,goat
23,goat
24,goat
25,goat
26,goat
27,goat
28,goat
29,goat
30,car
31,goat
32,goat
33,goat
34,goat
35,goat
36,goat
37,goat
38,goat
39,goat
40,goat
41,goat
42,goat
43,goat
44,goat
45,goat
46,car
47,goat
48,car
49,goat
50,goat
51,goat
52,goat
53,goat
54,goat
55,goat
56,goat
57,goat
58,goat
59,goat
60,goat
61,goat
62,car
63,goat
64,goat
65,goat
66,goat
67,goat
68,goat
69,goat
70,goat
71,goat
72,car
73,car
74,goat
75,goat
76,goat
77,goat
78,goat
79,goat
80,goat
81,goat
82,goat
83,goat
84,goat
85,goat
86,car
87,goat
88,goat
89,goat
90,goat
91,goat
92,goat
93,goat
94,goat
95,goat
96,goat
97,goat
98,car
99,goat
100,goat
101,goat
102,car
103,goat
104,goat
105,goat
106,goat
107,goat
108,car
109,goat
110,goat
111,goat
112,goat
113,goat
114,goat
115,goat
116,goat
117,goat
118,goat
119,goat
120,goat
121,goat
122,goat
123,goat
124,car
125,goat
126,goat
127,goat
128,goat
129,goat
130,goat
131,goat
132,car
133,goat
134,goat
135,goat
136,goat
137,goat
138,goat
139,goat
140,goat
141,goat
142,goat
143,goat
144,car
145,car
146,goat
147,goat
148,car
149,goat
150,goat
151,goat
152,goat
153,goat
154,goat
155,goat
156,goat
157,goat
158,goat
159,goat
160,goat
161,goat
162,car
163,goat
164,goat
165,goat
166,goat
167,goat
168,car
169,goat
170,goat
171,car
172,goat
173,goat
174,goat
175,car
176,goat
177,goat
178,car
179,goat
180,goat
181,goat
182,goat
183,goat
184,goat
185,goat
186,goat
187,car
188,goat
189,goat
190,goat
191,goat
192,goat
193,goat
194,goat
195,goat
196,goat
197,goat
198,goat
199,goat
200,goat
201,goat
202,goat
203,goat
204,car
205,goat
206,goat
207,goat
208,goat
209,goat
210,goat
211,goat
212,goat
213,goat
214,goat
215,goat
216,goat
217,goat
218,goat
219,goat
220,goat
221,goat
222,goat
223,goat
224,goat
225,goat
226,goat
227,goat
228,goat
229,goat
230,goat
231,goat
232,goat
233,goat
234,goat
235,goat
236,goat
237,car
238,goat
239,goat
240,goat
241,goat
242,goat
243,goat
244,goat
245,goat
246,goat
247,goat
248,goat
249,car
250,goat
251,goat
252,goat
253,car
254,goat
255,goat
256,goat
257,goat
258,goat
259,car
260,goat
261,goat
262,goat
263,car
264,goat
265,goat
266,goat
267,goat
268,goat
269,goat
270,goat
271,goat
272,goat
273,goat
274,goat
275,goat
276,goat
277,goat
278,goat
279,goat
280,goat
281,goat
282,goat
283,car
284,car
285,goat
286,car
287,goat
288,goat
289,goat
290,goat
291,goat
292,goat
293,goat
294,goat
295,goat
296,goat
297,goat
298,goat
299,goat
300,goat
301,goat
302,goat
303,goat
304,goat
305,goat
306,goat
307,goat
308,goat
309,goat
310,goat
311,goat
312,goat
313,goat
314,goat
315,goat
316,goat
317,goat
318,goat
319,goat
320,goat
321,goat
322,goat
323,goat
324,goat
325,goat
326,goat
327,goat
328,goat
329,goat
330,goat
331,goat
332,goat
333,goat
334,goat
335,goat
336,goat
337,goat
338,goat
339,car
340,goat
341,car
342,goat
343,goat
344,goat
345,goat
346,goat
347,goat
348,goat
349,goat
350,goat
351,goat
352,car
353,goat
354,goat
355,goat
356,goat
357,goat
358,goat
359,goat
360,car
361,goat
362,goat
363,goat
364,goat
365,goat
366,goat
367,goat
368,goat
369,goat
370,goat
371,goat
372,goat
373,car
374,goat
375,goat
376,goat
377,goat
378,goat
379,goat
380,goat
381,car
382,goat
383,goat
384,goat
385,goat
386,goat
387,car
388,goat
389,goat
390,goat
391,car
392,car
393,goat
394,goat
395,goat
396,goat
397,goat
398,goat
399,goat
400,car
401,goat
402,car
403,goat
404,car
405,goat
406,car
407,goat
408,goat
409,goat
410,goat
411,goat
412,goat
413,goat
414,goat
415,goat
416,goat
417,goat
418,goat
419,goat
420,goat
421,goat
422,goat
423,goat
424,goat
425,goat
426,goat
427,goat
428,goat
429,goat
430,goat
431,goat
432,goat
433,car
434,goat
435,goat
436,goat
437,goat
438,goat
439,goat
440,goat
441,goat
442,goat
443,goat
444,goat
445,goat
446,goat
447,goat
448,goat
449,goat
450,goat
451,goat
452,goat
453,car
454,car
455,goat
456,goat
457,goat
458,goat
459,goat
460,goat
461,goat
462,goat
463,goat
464,goat
465,goat
466,goat
467,goat
468,goat
469,goat
470,goat
471,goat
472,goat
473,goat
474,goat
475,goat
476,goat
477,car
478,goat
479,goat
480,goat
481,goat
482,goat
483,goat
484,goat
485,goat
486,goat
487,goat
488,goat
489,goat
490,goat
491,goat
492,goat
493,goat
494,goat
495,goat
496,goat
497,goat
498,goat
499,goat
500,goat
501,car
502,goat
503,goat
504,goat
505,car
506,goat
507,goat
508,goat
509,goat
510,goat
511,car
512,goat
513,goat
514,goat
515,goat
516,goat
517,goat
518,goat
519,goat
520,goat
521,goat
522,goat
523,goat
524,goat
525,goat
526,goat
527,goat
528,goat
529,car
530,goat
531,goat
532,goat
533,goat
534,goat
535,goat
536,goat
537,goat
538,goat
539,goat
540,goat
541,goat
542,goat
543,goat
544,goat
545,goat
546,goat
547,goat
548,goat
549,goat
550,goat
551,goat
552,car
553,goat
554,goat
555,goat
556,goat
557,car
